"0_eRNA"	"1_eRNA"	"10_eRNA"	"11_eRNA"	"12_eRNA"	"13_eRNA"	"14_eRNA"	"15_eRNA"	"2_eRNA"	"3_eRNA"	"4_eRNA"	"5_eRNA"	"6_eRNA"	"7_eRNA"	"8_eRNA"	"9_eRNA"
"1-sf"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"3bhsd"	4	0	0	0	8	3	0	4	4	0	0	0	0	0	0	1
"LOC100049190"	11	0	1	0	18	7	8	17	0	0	0	0	0	0	0	0
"LOC100049191"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"LOC100049216"	2	0	0	0	438	337	396	409	0	0	0	0	3	0	3	1
"LOC100049217"	0	0	0	0	96	191	271	174	0	0	0	0	0	0	0	0
"LOC100049225"	0	0	0	0	8	11	6	14	0	0	0	0	0	0	0	0
"LOC100049233"	0	0	0	0	178	100	88	127	0	0	0	0	0	0	0	0
"LOC100049240"	155	34	0	11	3594	2118	2183	3554	52	52	0	0	6	0	10	10
"LOC100049251"	15	2	1	2	97	90	79	109	17	2	1	0	0	0	1	0
"LOC100049265"	2	0	0	3	1277	1373	1531	1226	0	0	0	0	1	0	0	1
"LOC100049273"	211	53	3	9	11617	9675	13533	11972	0	25	8	11	22	7	17	26
"LOC100049282"	34	2	4	0	159	170	80	178	13	7	0	2	0	0	0	2
"LOC100049292"	54	0	0	0	1535	1374	1042	1731	1	12	0	0	0	0	1	2
"LOC100049312"	4	0	0	2	625	844	934	722	5	2	0	0	0	0	7	4
"LOC100049323"	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0
"LOC100049327"	6	0	0	0	4	3	0	1	0	0	0	0	0	0	0	0
"LOC100049330"	0	0	0	0	0	0	3	1	0	0	0	0	0	0	0	0
"LOC100049331"	2	0	0	0	3	0	0	3	0	0	0	0	0	0	0	0
"LOC100049332"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"LOC100049333"	8	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1
"LOC100049334"	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"LOC100049335"	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"LOC100049336"	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"LOC100049337"	4	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0
"LOC100049338"	0	0	0	0	13	1	0	3	0	0	0	0	0	0	1	0
"LOC100049339"	3	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2
"LOC100049340"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
